sku,titre,description,prix,condition,categorie,image_url,stock
,porte-clés 'Tu es génial' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'I'm yours' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Collègue travail' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Femme séduisante 2' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Femme séduisante 3' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'La meilleur c'est ma soeur' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'J'ai la meilleure maman' porte clé/ keychain - key holder,,14.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,2
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny Mme Doubtfire,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,3
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,3
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,3
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,2
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,1
,porte-clés 'I'm fine' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'Quand je dit je t'aime' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Je t'aime beaucoup' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Tu es génial' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'with a body like this' porte clé humour/ keychain - key holder funny,,14.99,,Autre,,1
,Carte de fête-voeux humour Austin Powers / greeting cards funny,,14.99,,Autre,,3
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,0
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,12.99,,Autre,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,12.99,,Autre,,1
,Autocollant  Inigo Montoya / Inigo Montoya sticker,,10.99,,Autre,,2
,Autocollant Scary movie / Scary Movie sticker 'take my strong hand',,12.99,,Autre,,1
,Autocollant humour / sticker 'will dance for diesel' funny decal,,12.99,,Autre,,1
,Autocollant / sticker 'No farmer no food' decal,,12.99,,Autre,,1
,Autocollant humour / sticker 'Got any grapes?' Duck Song funny decal,,10.99,,Autre,,1
,Autocollant humour garçon urine / sticker boy pee funny decal,,12.99,,Autre,,1
,Porte crayon Justin Trudeau / Justin Trudeau Bobblehead Pencil Holder Gag,,69.5,,Autre,,0
