sku,titre,description,prix,condition,categorie,subcategorie,image_url,stock
,Carte de fête-voeux humour / greeting cards funny,,0.0,,Autre,,,0
,Carte de fête-voeux humour / greeting cards funny,,0.0,,Autre,,,1
,Carte de fête-voeux humour / greeting cards funny,,0.0,,Autre,,,1
,Carte de fête-voeux humour / greeting cards funny,,0.0,,Autre,,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,0.0,,Autre,,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,0.0,,Autre,,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,0.0,,Autre,,,1
,Carte de noël - voeux humour / Christmas Greeting Card Funny,,0.0,,Autre,,,1
,Autocollant  Inigo Montoya / Inigo Montoya sticker,,0.0,,Autre,,,2
,Autocollant Scary movie / Scary Movie sticker 'take my strong hand',,0.0,,Autre,,,1
,Autocollant humour / sticker 'will dance for diesel' funny decal,,0.0,,Autre,,,1
,Autocollant / sticker 'No farmer no food' decal,,0.0,,Autre,,,1
,Autocollant humour / sticker 'Got any grapes?' Duck Song funny decal,,0.0,,Autre,,,1
,Autocollant humour garçon urine / sticker boy pee funny decal,,0.0,,Autre,,,1
,Porte crayon Justin Trudeau / Justin Trudeau Bobblehead Pencil Holder Gag,,0.0,,Autre,,,0
